time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:05.100000,[],0,1.7500132892143904e-19,,2.6034446723772445e-20,,-7.220160007476807,,-2.8206576160309813e-21,,2.87727925987123e-20,,4.9324789620059844e-20
1970/01/01/01:00:05.110000,[],0,2.6268557577935705e-19,,6.094429585099452e-20,,-7.220160007476807,,-7.398559469235002e-21,,4.284066296992444e-20,,7.344114021264106e-20
1970/01/01/01:00:05.120000,[],0,2.6501809585978587e-19,,5.768048672310463e-20,,-7.220160007476807,,-6.894714387723576e-21,,4.252194317132437e-20,,7.289476156865565e-20
1970/01/01/01:00:05.130000,[],0,2.6727746215479204e-19,,5.44761893628788e-20,,-7.220160007476807,,-6.400257079150417e-21,,4.2205346254218236e-20,,7.235202122689576e-20
1970/01/01/01:00:05.140000,[],0,2.6946488958590024e-19,,5.1330531353264743e-20,,-7.220160007476807,,-5.915048603022009e-21,,4.189086252508323e-20,,7.181290626266432e-20
1970/01/01/01:00:05.150000,[],0,2.7158164477342344e-19,,4.824265320190722e-20,,-7.220160007476807,,-5.4389528461223235e-21,,4.157847582804802e-20,,7.12773908265672e-20
1970/01/01/01:00:05.160000,[],0,3.01727415017306e-19,,1.616305617802817e-19,,-7.220160007476807,,-2.057578815748125e-20,,4.562530510977312e-20,,7.821480599003312e-20
1970/01/01/01:00:05.170000,[],0,1.7278514403934755e-19,,1.664698785564466e-19,,-7.220160007476807,,-1.9936912303319077e-20,,2.546168554189056e-20,,4.3648605170887076e-20
1970/01/01/01:00:05.180000,[],0,4.640445431683552e-20,,1.7119575526641812e-19,,-7.220160007476807,,-1.930882049327564e-20,,5.698793379421244e-21,,9.769360079007847e-21
1970/01/01/01:00:05.190000,[],0,-7.745326345155588e-20,,1.758100013677862e-19,,-7.220160007476807,,-1.8691359246573214e-20,,-1.366941165403167e-20,,-2.3433275505610014e-20
1970/01/01/01:00:05.200000,[],0,-1.9882608219222398e-19,,1.8031438754404956e-19,,-7.220160007476807,,-1.808437831360835e-20,,-3.264888340095336e-20,,-5.596951532482698e-20
1970/01/01/01:00:05.210000,[],0,-2.5958434641592503e-19,,2.054903888130539e-20,,-7.220160007476807,,9.947921231394196e-21,,-4.0608399764676457e-20,,-6.961440236616616e-20
1970/01/01/01:00:05.220000,[],0,-3.1910149075397563e-19,,-1.3602305334368598e-19,,-7.220160007476807,,3.7418581296344576e-20,,-4.840466427969397e-20,,-8.297942447947538e-20
1970/01/01/01:00:05.230000,[],0,-3.7739637233940255e-19,,-2.8945009017306423e-19,,-7.220160007476807,,6.433608532928286e-20,,-5.604016171901783e-20,,-9.606885327713667e-20
1970/01/01/01:00:05.240000,[],0,-4.344876285853824e-19,,-4.397796716505552e-19,,-7.220160007476807,,9.070880045597548e-20,,-6.351735100626582e-20,,-1.0888688928569813e-19
1970/01/01/01:00:05.250000,[],0,-4.903936125617562e-19,,-5.87058662727739e-19,,-7.220160007476807,,1.1654499202019942e-19,,-7.083863613509317e-20,,-1.21437661945874e-19
1970/01/01/01:00:05.260000,[],0,-3.681253061845141e-19,,-5.548877475491735e-19,,-7.220160007476807,,1.1446935029405952e-19,,-5.06114367511434e-20,,-8.676245746280423e-20
1970/01/01/01:00:05.270000,[],0,-2.482655171064791e-19,,-5.233048026897683e-19,,-7.220160007476807,,1.1242378433800417e-19,,-3.0783713904268456e-20,,-5.2772080978745925e-20
1970/01/01/01:00:05.280000,[],0,-1.3077813372403451e-19,,-4.923011427530917e-19,,-7.220160007476807,,1.1040788056172708e-19,,-1.1349469727233764e-20,,-1.9456233125720538e-20
1970/01/01/01:00:05.290000,[],0,-1.5627403093907238e-20,,-4.618683408366533e-19,,-7.220160007476807,,1.0842125122431613e-19,,7.69722579253563e-21,,1.3195243292582718e-20
1970/01/01/01:00:05.300000,[],0,-2.606924162387509e-20,,-4.687343535111497e-19,,-7.220160007476807,,1.1048482128339159e-19,,5.580687093688374e-21,,9.566892276007722e-21
1970/01/01/01:00:05.310000,[],0,-6.633562643906788e-20,,-4.0744497471070426e-19,,-7.220160007476807,,1.0172253582870858e-19,,-8.841585337459778e-22,,-1.5157004301138441e-21
1970/01/01/01:00:05.320000,[],0,-1.0579004785692177e-19,,-3.4734060968592344e-19,,-7.220160007476807,,9.312532460501818e-20,,-7.219618653872187e-21,,-1.2376489582520074e-20
1970/01/01/01:00:05.330000,[],0,-1.4444479887993857e-19,,-2.884036033006081e-19,,-7.220160007476807,,8.469074484457396e-20,,-1.342764873296744e-20,,-2.301882570697827e-20
