====
Fx,Fy,Fz,Mx,My,Mz,m1,m2,m3,m4
-0.19277, 0.190165, 0.507659, -1.83183, -5.5231, 0.0803494, 0, 0, 1, 0
-0.193597, 0.192865, 0.510168, -1.81967, -5.52436, 0.0802941, 0, 0, 1, 0
====
Fx,Fy,Fz,Mx,My,Mz,m1,m2,m3,m4
0.000749206, -3.16338e-05, 0.0337446, 0.000336219, -3.44762, 3.18391e-07, 0, 0, 0, 0
0.00306582, -2.03908e-05, 0.0288799, -0.000632015, -3.24351, 1.22336e-06, 0, 0, 0, 0
0.00123284, -6.97061e-05, 0.0363741, -0.00127867, -3.18604, 2.66755e-07, 0, 0, 0, 0
-0.00416636, -2.64476e-05, 0.0357122, -0.00158758, -3.21443, -6.52651e-07, 0, 0, 0, 0
-0.00697847, -1.27005e-06, 0.0365159, -0.00165025, -3.22161, -5.54235e-07, 0, 0, 0, 0
-0.00746557, -2.46028e-05, 0.0395005, -0.00152399, -3.20949, -1.10845e-06, 0, 0, 0, 0
-0.00871331, 2.05257e-05, 0.038328, -0.00122938, -3.18794, -7.59859e-07, 0, 0, 0, 0
-0.0096972, 4.26749e-05, 0.0386345, -0.000823523, -3.1738, -1.17246e-06, 0, 0, 0, 0
-0.00884843, 9.10393e-05, 0.036371, -0.000389525, -3.17244, -2.24151e-06, 0, 0, 0, 0
-0.00852086, 0.00012557, 0.0357446, 3.82007e-05, -3.18176, -1.90396e-06, 0, 0, 0, 0
-0.00847683, 0.000169973, 0.0354399, 0.000165239, -3.20556, -2.98098e-06, 0, 0, 0, 0
-0.00840435, 0.000184613, 0.0362254, -8.80417e-06, -3.23124, -5.29532e-06, 0, 0, 0, 0
-0.00824277, 0.000264643, 0.0358212, 0.00020901, -3.25124, -5.79174e-06, 0, 0, 0, 0
-0.00871221, 0.000436663, 0.0350942, 0.000121767, -3.26273, -1.24031e-05, 0, 0, 0, 0
-0.00876664, 0.000533036, 0.0354674, 0.000111151, -3.26632, -1.55489e-05, 0, 0, 0, 0
-0.00858111, 0.000555825, 0.0359385, -0.000262506, -3.26478, -1.36653e-05, 0, 0, 0, 0
-0.00948961, 0.000952419, 0.0357143, -0.000354233, -3.25763, -2.2542e-05, 0, 0, 0, 0
-0.00932896, 0.000706585, 0.0355333, -0.000793225, -3.24772, -2.72934e-05, 0, 0, 0, 0
-0.00978431, 0.00125008, 0.035482, -0.000710961, -3.23817, -2.90168e-05, 0, 0, 0, 0
-0.0100613, 0.00155521, 0.0349872, -0.000637899, -3.22882, -4.30898e-05, 0, 0, 0, 0
-0.0100329, 0.00231415, 0.0354076, 0.00011202, -3.22435, -4.62084e-05, 0, 0, 0, 0
-0.0102264, 0.00223592, 0.0345993, 0.00093658, -3.2231, -5.09797e-05, 0, 0, 0, 0
-0.0103493, 0.00324356, 0.0350639, -0.000287009, -3.23151, -6.02751e-05, 0, 0, 0, 0
-0.0103888, 0.00328121, 0.0341986, 0.000304506, -3.23905, -5.49926e-05, 0, 0, 0, 0
-0.0104683, 0.00387569, 0.034325, 0.00190782, -3.24143, -4.99773e-05, 0, 0, 0, 0
-0.0112348, 0.00499561, 0.0345236, -0.000960825, -3.25152, -6.38598e-05, 0, 0, 0, 0
-0.0111943, 0.00515875, 0.0329203, -0.00156742, -3.2584, -6.31185e-05, 0, 0, 0, 0
-0.0118105, 0.00593023, 0.0333367, -0.00105285, -3.26185, -7.71714e-05, 0, 0, 0, 0
-0.0121247, 0.00640012, 0.033056, 0.00149166, -3.25788, -7.72124e-05, 0, 0, 0, 0
-0.0131689, 0.00752392, 0.0329952, 0.000406342, -3.25343, -8.84444e-05, 0, 0, 0, 0
-0.0144565, 0.00884207, 0.0332585, -7.2005e-05, -3.25232, -9.72386e-05, 0, 0, 0, 0
-0.0152697, 0.00967901, 0.0320974, -0.000388577, -3.24763, -0.000114055, 0, 0, 0, 0
-0.0170602, 0.0115082, 0.034194, 0.000506502, -3.2474, -0.000118126, 0, 0, 0, 0
-0.0175889, 0.0119929, 0.031555, -0.00443346, -3.25571, -9.95284e-05, 0, 0, 0, 0
-0.0195123, 0.0139281, 0.0350619, 0.00482925, -3.24775, -9.03581e-05, 0, 0, 0, 0
-0.0196005, 0.0140699, 0.0321286, 0.00273548, -3.24205, -0.000107712, 0, 0, 0, 0
-0.0212588, 0.0156494, 0.0315026, 0.00105219, -3.24253, -0.000111076, 0, 0, 0, 0
-0.0231978, 0.0174308, 0.031706, 0.000802307, -3.24989, -0.000118756, 0, 0, 0, 0
-0.0240225, 0.0182417, 0.0298302, 0.00101295, -3.25206, -0.000115645, 0, 0, 0, 0
-0.0258257, 0.0198987, 0.0289815, -0.00158819, -3.25556, -0.00013852, 0, 0, 0, 0
-0.029461, 0.0231277, 0.0326086, 0.00410896, -3.24589, -0.000145578, 0, 0, 0, 0
-0.0294643, 0.023216, 0.0267845, -0.00366098, -3.25087, -0.000174331, 0, 0, 0, 0
-0.0321737, 0.0254218, 0.0283162, -0.00125297, -3.25857, -0.000191325, 0, 0, 0, 0
-0.0374597, 0.0299875, 0.0341109, 0.0105449, -3.23932, -0.00020564, 0, 0, 0, 0
-0.0382684, 0.0308553, 0.0314354, 0.00232954, -3.23624, -0.000199462, 0, 0, 0, 0
-0.0399682, 0.0321614, 0.0261976, -0.00440614, -3.24737, -0.000213522, 0, 0, 0, 0
-0.0404643, 0.0322822, 0.0226238, -0.0109617, -3.27872, -0.000189391, 0, 0, 0, 0
-0.0446177, 0.0359843, 0.0288713, 0.0106517, -3.24514, -0.000190221, 0, 0, 0, 0
-0.0471531, 0.0384692, 0.0263133, -0.000617882, -3.23409, -0.000233666, 0, 0, 0, 0
-0.0513996, 0.0417774, 0.0297656, 0.00225202, -3.23787, -0.000199545, 0, 0, 0, 0
-0.0516975, 0.0420118, 0.020153, -0.00499315, -3.24318, -0.000242116, 0, 0, 0, 0
-0.0557749, 0.0451952, 0.0241897, 0.000915239, -3.24619, -0.000296985, 0, 0, 0, 0
-0.0602613, 0.0490357, 0.0271214, 0.00821835, -3.23098, -0.000281572, 0, 0, 0, 0
-0.0632882, 0.0517203, 0.0288615, 0.0156784, -3.20714, -0.000259623, 0, 0, 0, 0
-0.0691335, 0.0564002, 0.0286738, 0.0040433, -3.22315, -0.000288395, 0, 0, 0, 0
-0.071781, 0.0582945, 0.0255033, 0.00467358, -3.23265, -0.000262097, 0, 0, 0, 0
-0.0726148, 0.0589727, 0.0238431, 0.00710645, -3.23749, -0.000268738, 0, 0, 0, 0
-0.0769687, 0.0626581, 0.023525, 0.00346242, -3.24457, -0.000304995, 0, 0, 0, 0
-0.081508, 0.0666767, 0.0269398, 0.012058, -3.22137, -0.000285378, 0, 0, 0, 0
-0.0819561, 0.0672825, 0.0207418, 0.00891403, -3.20917, -0.000310299, 0, 0, 0, 0
-0.0890633, 0.072861, 0.0207766, -2.66856e-06, -3.22227, -0.000356423, 0, 0, 0, 0
-0.0932491, 0.0759524, 0.0261471, 0.0212983, -3.20005, -0.000379469, 0, 0, 0, 0
-0.0951598, 0.0776672, 0.0191295, 0.000486856, -3.22095, -0.000383913, 0, 0, 0, 0
-0.102036, 0.0832258, 0.0274704, 0.0310587, -3.17235, -0.000372799, 0, 0, 0, 0
-0.106948, 0.0875734, 0.0146043, 0.00347269, -3.18175, -0.000470081, 0, 0, 0, 0
-0.111957, 0.0898049, 0.00662101, -0.0239693, -3.27788, -0.000542534, 0, 0, 0, 0
