time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:08.050000,[],0,-1.1948709768317037e-18,,2.516680728574277e-19,,-7.220160007476807,,-4.6373108695263737e-20,,-2.0530277714154347e-19,,-3.5194761795693167e-19
1970/01/01/01:00:08.060000,[],0,-1.2403123505774574e-18,,4.473652280603962e-19,,-7.220160007476807,,-7.924859434761688e-20,,-2.1414560930837383e-19,,-3.6710676250712574e-19
1970/01/01/01:00:08.070000,[],0,-1.2847207825332855e-18,,6.391036777974449e-19,,-7.220160007476807,,-1.1145864550891378e-19,,-2.227901636974358e-19,,-3.819259875243488e-19
1970/01/01/01:00:08.070000,[],0,-1.328112609516286e-18,,8.269435219099547e-19,,-7.220160007476807,,-1.4301334990521848e-19,,-2.3123955516072357e-19,,-3.964106438331883e-19
1970/01/01/01:00:08.090000,[],0,-1.3705037547532504e-18,,1.0109438521129347e-18,,-7.220160007476807,,-1.7392265955327575e-19,,-2.394968339267459e-19,,-4.105659788606551e-19
1970/01/01/01:00:08.100000,[],0,-1.5877859036974546e-18,,1.028837836713988e-18,,-7.220160007476807,,-1.7577242927340039e-19,,-2.7376082624780025e-19,,-4.693042809531987e-19
1970/01/01/01:00:08.110000,[],0,-1.8005635372184247e-18,,1.046271185111426e-18,,-7.220160007476807,,-1.775676179977936e-19,,-3.0731220247114017e-19,,-5.268208889797898e-19
1970/01/01/01:00:08.120000,[],0,-2.008905518102156e-18,,1.0632511351356082e-18,,-7.220160007476807,,-1.7930914337994743e-19,,-3.401617934929113e-19,,-5.831345179017874e-19
1970/01/01/01:00:08.130000,[],0,-2.212879985351607e-18,,1.0797852348096244e-18,,-7.220160007476807,,-1.8099792307335393e-19,,-3.723203785104709e-19,,-6.382635207890325e-19
1970/01/01/01:00:08.140000,[],0,-1.992633841477472e-18,,1.3451304030534926e-18,,-7.220160007476807,,-2.2278015998190276e-19,,-3.369605528235428e-19,,-5.776466398265926e-19
1970/01/01/01:00:08.150000,[],0,-1.77659329063271e-18,,1.6050341704328338e-18,,-7.220160007476807,,-2.6370445549886924e-19,,-3.0227420725159767e-19,,-5.18184347902912e-19
1970/01/01/01:00:08.160000,[],0,-1.816904697014563e-18,,1.489036151592685e-18,,-7.220160007476807,,-2.4567545951221073e-19,,-3.082549298755092e-19,,-5.284370448003536e-19
1970/01/01/01:00:08.170000,[],0,-1.8562284497450276e-18,,1.3752091716677583e-18,,-7.220160007476807,,-2.2798247980000774e-19,,-3.1408520902551265e-19,,-5.384318164430436e-19
1970/01/01/01:00:08.180000,[],0,-1.8945800584605893e-18,,1.2635211774093171e-18,,-7.220160007476807,,-2.1062056620328204e-19,,-3.1976750039405153e-19,,-5.481728504328329e-19
1970/01/01/01:00:08.190000,[],0,-1.9319750327977335e-18,,1.1539405291589314e-18,,-7.220160007476807,,-1.9358483318654072e-19,,-3.2530413042659865e-19,,-5.57664230973996e-19
1970/01/01/01:00:08.200000,[],0,-1.9562825622782167e-18,,1.0336797384295672e-18,,-7.220160007476807,,-1.728982480634171e-19,,-3.2879594413552054e-19,,-5.636501751755243e-19
1970/01/01/01:00:08.210000,[],0,-1.979908288138803e-18,,9.15720784549785e-19,,-7.220160007476807,,-1.5260811509825368e-19,,-3.3218505820151515e-19,,-5.694600850029436e-19
1970/01/01/01:00:08.220000,[],0,-2.0028633773177622e-18,,8.0002939122295195e-19,,-7.220160007476807,,-1.3270851477979186e-19,,-3.354731528352017e-19,,-5.750968038896096e-19
1970/01/01/01:00:08.230000,[],0,-2.0251592035485165e-18,,6.86571902537895e-19,,-7.220160007476807,,-1.1319364391904669e-19,,-3.3866193409659364e-19,,-5.805633303652429e-19
1970/01/01/01:00:08.240000,[],0,-1.8801089472342804e-18,,7.624689290645089e-19,,-7.220160007476807,,-1.2547999020184409e-19,,-3.125097143019347e-19,,-5.357309166466931e-19
1970/01/01/01:00:08.250000,[],0,-1.737771429738912e-18,,8.3677177175558e-19,,-7.220160007476807,,-1.3750806226306888e-19,,-2.8684927923083266e-19,,-4.917416584662762e-19
1970/01/01/01:00:08.260000,[],0,-1.598107049790585e-18,,9.095048324391786e-19,,-7.220160007476807,,-1.4928181506002482e-19,,-2.616733910529277e-19,,-4.485829413196508e-19
1970/01/01/01:00:08.270000,[],0,-1.4610761027198973e-18,,9.806924095457985e-19,,-7.220160007476807,,-1.6080516477592448e-19,,-2.3697483778725413e-19,,-4.06242590142176e-19
1970/01/01/01:00:08.280000,[],0,-1.3266396076404822e-18,,1.0503580777228973e-18,,-7.220160007476807,,-1.7208197589519212e-19,,-2.127465625492111e-19,,-3.6470837817042237e-19
1970/01/01/01:00:08.290000,[],0,-1.297809985148748e-18,,9.812245968723998e-19,,-7.220160007476807,,-1.6062119463781386e-19,,-2.0899868474191576e-19,,-3.5828345955756987e-19
1970/01/01/01:00:08.300000,[],0,-1.2694271435853692e-18,,9.13375727513197e-19,,-7.220160007476807,,-1.4937358040922992e-19,,-2.05304870942469e-19,,-3.5195121102271745e-19
1970/01/01/01:00:08.310000,[],0,-1.241484982493328e-18,,8.467924961899888e-19,,-7.220160007476807,,-1.3833597958335496e-19,,-2.0166439736783484e-19,,-3.457103917949463e-19
