time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:07.620000,[],0,-1.1747154804359304e-18, 4.732936696499654e-19, -7.220160007476807, -8.684176986638128e-20, -1.7806626573549529e-19, -3.0525645185379276e-19
1970/01/01/01:00:07.630000,[],0,-1.2586832048016476e-18, 4.343062175372919e-19, -7.220160007476807, -7.995536201990662e-20, -1.9134314787712787e-19, -3.2801684339607216e-19
1970/01/01/01:00:07.640000,[],0,-1.0660460750278483e-18, 6.970088539167828e-19, -7.220160007476807, -1.2274282370551198e-19, -1.622583660158153e-19, -2.78157187805943e-19
1970/01/01/01:00:07.650000,[],0,-8.771551428507251e-19, 9.54387652476306e-19, -7.220160007476807, -1.646622433487739e-19, -1.3373903965136515e-19, -2.2926693619493774e-19
1970/01/01/01:00:07.660000,[],0,-6.919542116874127e-19, 1.2065234701207382e-18, -7.220160007476807, -2.0572682352775054e-19, -1.0577674188128703e-19, -1.813315482788513e-19
1970/01/01/01:00:07.670000,[],0,-5.103881706295997e-19, 1.4534960263816145e-18, -7.220160007476807, -2.4594954063830135e-19, -7.83631039642274e-20, -1.3433674226742006e-19
1970/01/01/01:00:07.680000,[],0,-3.324023740580693e-19, 1.6953835932243977e-18, -7.220160007476807, -2.8534319013052674e-19, -5.148989933050045e-20, -8.826840439144237e-20
1970/01/01/01:00:07.690000,[],0,-4.062770215351735e-19, 1.581570261779578e-18, -7.220160007476807, -2.6332488299528397e-19, -6.284511166220163e-20, -1.0773447159604691e-19
1970/01/01/01:00:07.700000,[],0,-4.786335340943015e-19, 1.4698749262932004e-18, -7.220160007476807, -2.4172060560601813e-19, -7.396692981419215e-20, -1.2680045480281428e-19
1970/01/01/01:00:07.710000,[],0,-5.494950469432106e-19, 1.3602665674922942e-18, -7.220160007476807, -2.205242316563175e-19, -8.485891454051511e-20, -1.4547242861936792e-19
1970/01/01/01:00:07.720000,[],0,-6.188843850969284e-19, 1.2527143728990415e-18, -7.220160007476807, -1.9972972531264988e-19, -9.552457489642531e-20, -1.6375641595454297e-19
1970/01/01/01:00:07.730000,[],0,-6.941403983476021e-19, 1.3468819580005736e-18, -7.220160007476807, -2.1151739800835144e-19, -1.0793072019637512e-19, -1.8502409545798508e-19
1970/01/01/01:00:07.740000,[],0,-5.8049348530227045e-19, 1.1729675444040292e-18, -7.220160007476807, -1.8101574623061503e-19, -9.0300121534586e-20, -1.5480020834500456e-19
1970/01/01/01:00:07.750000,[],0,-6.7216608688118945e-19, 1.091846148526107e-18, -7.220160007476807, -1.6673360700018324e-19, -1.0542274735320555e-19, -1.8072470790196708e-19
1970/01/01/01:00:07.760000,[],0,-7.619379825088264e-19, 1.0122379761812739e-18, -7.220160007476807, -1.527204307158019e-19, -1.2023238224520182e-19, -2.0611265158471824e-19
1970/01/01/01:00:07.770000,[],0,-8.498382786029856e-19, 9.341207968905676e-19, -7.220160007476807, -1.3897224949547016e-19, -1.3473378896144552e-19, -2.309722207265041e-19
1970/01/01/01:00:07.780000,[],0,-9.358956162923767e-19, 8.574725352713907e-19, -7.220160007476807, -1.254851342312784e-19, -1.4893171086576175e-19, -2.553114932629941e-19
1970/01/01/01:00:07.790000,[],0,-9.12472239489136e-19, 6.162674958315404e-19, -7.220160007476807, -8.390494911204272e-20, -1.4665923892792545e-19, -2.514158344693873e-19
1970/01/01/01:00:07.800000,[],0,-8.894260570452196e-19, 3.7982492291906996e-19, -7.220160007476807, -4.3147970261010695e-20, -1.4441756654320967e-19, -2.475729601386191e-19
1970/01/01/01:00:07.810000,[],0,-8.667519507805871e-19, 1.4807321371220535e-19, -7.220160007476807, -3.2018186456656518e-21, -1.4220628012130815e-19, -2.437821981864417e-19
1970/01/01/01:00:07.810000,[],0,-8.444445957200453e-19, -7.905825879619872e-20, -7.220160007476807, 3.594573128573136e-20, -1.4002499192130874e-19, -2.400428506792133e-19
1970/01/01/01:00:07.830000,[],0,-7.909980264999449e-19, -5.390359943323311e-20, -7.220160007476807, 3.3367855218452525e-20, -1.295683433040845e-19, -2.2211714887154736e-19
1970/01/01/01:00:07.840000,[],0,-7.385412305815523e-19, -2.9246647536257274e-20, -7.220160007476807, 3.083820119594612e-20, -1.1930786573900603e-19, -2.0452777353106664e-19
1970/01/01/01:00:07.850000,[],0,-6.870597840029364e-19, -5.07990880045386e-21, -7.220160007476807, 2.835605835987323e-20, -1.092406640939294e-19, -1.8726972280000463e-19
1970/01/01/01:00:07.860000,[],0,-6.365392111033774e-19, 1.8604002834656505e-20, -7.220160007476807, 2.5920719083069207e-20, -9.936389493549898e-20, -1.7033809821817135e-19
1970/01/01/01:00:07.870000,[],0,-5.869654498124619e-19, 4.181237730211873e-20, -7.220160007476807, 2.353149674100215e-20, -8.967471483035909e-20, -1.5372807887355927e-19
1970/01/01/01:00:07.880000,[],0,-6.23836095038824e-19, -4.188012856416565e-20, -7.220160007476807, 3.6813033389167475e-20, -9.508989794687723e-20, -1.630112554696034e-19
1970/01/01/01:00:07.890000,[],0,-6.599069600104239e-19, -1.2389459516030964e-19, -7.220160007476807, 4.982525974004857e-20, -1.0038727244959192e-19, -1.720924707492139e-19
1970/01/01/01:00:07.900000,[],0,-6.951904007376616e-19, -2.0425638074196682e-19, -7.220160007476807, 6.257225838233277e-20, -1.055686607207902e-19, -1.8097485248908194e-19
1970/01/01/01:00:07.910000,[],0,-7.296986698333605e-19, -2.8299050752266693e-19, -7.220160007476807, 7.505805859033202e-20, -1.1063585929336494e-19, -1.896614767671105e-19
1970/01/01/01:00:07.920000,[],0,-7.634437614164027e-19, -3.601216358244217e-19, -7.220160007476807, 8.728663793956996e-20, -1.155906582378605e-19, -1.981554067365054e-19
1970/01/01/01:00:07.930000,[],0,-6.561113383721477e-19, -4.163448694151037e-19, -7.220160007476807, 9.402083809098633e-20, -1.0087420394939863e-19, -1.7292719938485647e-19
1970/01/01/01:00:07.940000,[],0,-5.508599466527114e-19, -4.714020109866332e-19, -7.220160007476807, 1.0061094725710509e-19, -8.644198959892528e-20, -1.4818626603748662e-19
1970/01/01/01:00:07.950000,[],0,-4.4765851528633455e-19, -5.25310819072786e-19, -7.220160007476807, 1.07059194948171e-19, -7.228977588580114e-20, -1.2392533008994481e-19
1970/01/01/01:00:07.960000,[],0,-3.464763093433821e-19, -5.780889746591554e-19, -7.220160007476807, 1.1336777836268617e-19, -5.841337520817515e-20, -1.0013721833535656e-19
1970/01/01/01:00:07.970000,[],0,-4.487514793694585e-19, -6.323191941120733e-19, -7.220160007476807, 1.186910862700741e-19, -7.577128861115734e-20, -1.2989363207997097e-19
1970/01/01/01:00:07.980000,[],0,-5.48936286439431e-19, -6.854016487662856e-19, -7.220160007476807, 1.2389606857577575e-19, -9.277446431597645e-20, -1.590419388273882e-19
1970/01/01/01:00:07.990000,[],0,-3.446601050615512e-19, -5.726573965644025e-19, -7.220160007476807, 1.0688065318283026e-19, -5.968382123148003e-20, -1.0231512026472332e-19
