time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:06.020000,[],0,8.071359583593364e-19, 4.73125907081982e-19, -7.220160007476807, -9.421607856494299e-20, 1.125525272455298e-19, 1.9294719325653597e-19
1970/01/01/01:00:06.030000,[],0,8.309169873799297e-19, 4.250476883385624e-19, -7.220160007476807, -8.69295414841914e-20, 1.1693204792338888e-19, 2.004549300653116e-19
1970/01/01/01:00:06.040000,[],0,9.155865744953982e-19, 4.930910485392916e-19, -7.220160007476807, -1.0079126616829312e-19, 1.2889932220959102e-19, 2.209702629522426e-19
1970/01/01/01:00:06.050000,[],0,9.984712092465538e-19, 5.597241691931945e-19, -7.220160007476807, -1.1436566837415483e-19, 1.4061435810775277e-19, 2.4105320009865855e-19
1970/01/01/01:00:06.060000,[],0,1.0795982919911874e-18, 6.249687120925622e-19, -7.220160007476807, -1.276571554234778e-19, 1.5208104595169255e-19, 2.60710371874157e-19
1970/01/01/01:00:06.070000,[],0,1.1589948094967835e-18, 6.888458220418033e-19, -7.220160007476807, -1.4067005062743232e-19, 1.6330318560234927e-19, 2.799483181754559e-19
1970/01/01/01:00:06.080000,[],0,1.131458277097623e-18, 4.612124900084753e-19, -7.220160007476807, -1.0139669129084804e-19, 1.5951356102351414e-19, 2.734518225902234e-19
1970/01/01/01:00:06.090000,[],0,1.1043593232425029e-18, 2.3808568965112457e-19, -7.220160007476807, -6.289865868216737e-20, 1.557837777921184e-19, 2.670578974009475e-19
1970/01/01/01:00:06.100000,[],0,1.0776918474744058e-18, 1.939760185304444e-20, -7.220160007476807, -2.5164301186980676e-20, 1.5211300872754948e-19, 2.6076517258973862e-19
1970/01/01/01:00:06.110000,[],0,1.0514499561314673e-18, -1.949186489995854e-19, -7.220160007476807, 1.1817885790692491e-20, 1.48500452498589e-19, 2.545722005905248e-19
1970/01/01/01:00:06.120000,[],0,6.74139377931223e-19, -1.96169242688189e-19, -7.220160007476807, 1.1162909802947512e-20, 8.798478483891325e-20, 1.5083105972385129e-19
